epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,14090.2,1.07863,1.33031,1.37319,0.74052,0.64345,0.7212,0.49311,1.13716,1.1168,1.38932,0.005149,0.005149,0.005149
149,14166.6,1.07941,1.32597,1.37184,0.74247,0.64319,0.72228,0.49332,1.13675,1.11543,1.38871,0.005116,0.005116,0.005116
150,14242.9,1.07629,1.32094,1.3695,0.74375,0.64197,0.7226,0.49382,1.13632,1.11382,1.38792,0.005083,0.005083,0.005083
151,14319.3,1.07303,1.31753,1.36749,0.7464,0.64086,0.7235,0.49482,1.13601,1.11246,1.38736,0.00505,0.00505,0.00505
152,14395.3,1.06749,1.31295,1.36533,0.7431,0.64446,0.7244,0.49559,1.13558,1.11129,1.38672,0.005017,0.005017,0.005017
153,14471.3,1.07313,1.30753,1.36349,0.74145,0.64671,0.72473,0.49615,1.13477,1.10958,1.38561,0.004984,0.004984,0.004984
154,14548.1,1.07158,1.3132,1.36972,0.74469,0.64616,0.72584,0.49693,1.13427,1.10852,1.38475,0.004951,0.004951,0.004951
155,14624.2,1.07003,1.30295,1.36199,0.745,0.64665,0.72672,0.49732,1.13373,1.10712,1.38399,0.004918,0.004918,0.004918
156,14699.6,1.06614,1.30667,1.3607,0.74693,0.64649,0.72702,0.49799,1.13335,1.10592,1.38335,0.004885,0.004885,0.004885
157,14776.1,1.07188,1.30262,1.36526,0.7476,0.64752,0.72739,0.49859,1.13272,1.1047,1.38267,0.004852,0.004852,0.004852
158,14852.3,1.06103,1.29092,1.35605,0.74924,0.6488,0.72815,0.49907,1.13236,1.10338,1.38203,0.004819,0.004819,0.004819
159,14928.8,1.06843,1.30179,1.36443,0.7519,0.64746,0.72871,0.49963,1.13186,1.10164,1.38131,0.004786,0.004786,0.004786
160,15005.4,1.06509,1.29995,1.36005,0.74989,0.64954,0.72938,0.50028,1.13145,1.10027,1.38073,0.004753,0.004753,0.004753
161,15081.3,1.06408,1.29181,1.3562,0.75117,0.64978,0.72994,0.5011,1.13076,1.09854,1.37994,0.00472,0.00472,0.00472
162,15157.8,1.05777,1.28763,1.35533,0.75308,0.64944,0.73094,0.50192,1.13043,1.0971,1.37925,0.004687,0.004687,0.004687
163,15233.9,1.06081,1.29203,1.35532,0.75252,0.6507,0.73158,0.5024,1.12963,1.09579,1.3784,0.004654,0.004654,0.004654
164,15309.9,1.06002,1.28849,1.3574,0.75271,0.65062,0.73196,0.5033,1.12916,1.09446,1.37768,0.004621,0.004621,0.004621
165,15385.8,1.05801,1.28923,1.35714,0.75356,0.65156,0.73236,0.50384,1.12839,1.09318,1.37683,0.004588,0.004588,0.004588
166,15462.1,1.06441,1.28621,1.3567,0.75393,0.65224,0.73313,0.50449,1.12801,1.09214,1.37625,0.004555,0.004555,0.004555
167,15538.4,1.05684,1.27821,1.35139,0.75747,0.64864,0.73342,0.50499,1.12755,1.09073,1.3756,0.004522,0.004522,0.004522
168,15614.4,1.06265,1.27934,1.35578,0.75854,0.649,0.7339,0.50558,1.12703,1.08927,1.37488,0.004489,0.004489,0.004489
169,15687.6,1.05659,1.27492,1.35066,0.75768,0.65048,0.73447,0.50602,1.12636,1.08798,1.374,0.004456,0.004456,0.004456
170,15763.9,1.05182,1.26586,1.34756,0.7578,0.65221,0.7353,0.50665,1.12571,1.08656,1.3731,0.004423,0.004423,0.004423
171,15840.1,1.05536,1.26717,1.35254,0.75487,0.65351,0.73554,0.50719,1.12515,1.0854,1.37243,0.00439,0.00439,0.00439
172,15916.6,1.05013,1.26812,1.35018,0.75667,0.65338,0.73636,0.50788,1.12459,1.08395,1.37166,0.004357,0.004357,0.004357
173,15992.9,1.05208,1.2606,1.34897,0.75766,0.65226,0.73665,0.50836,1.12387,1.08269,1.37072,0.004324,0.004324,0.004324
174,16068.9,1.04921,1.26152,1.34584,0.75752,0.65207,0.73704,0.50906,1.12307,1.08115,1.36987,0.004291,0.004291,0.004291
175,16145,1.04556,1.26517,1.34564,0.7622,0.65094,0.73795,0.50958,1.12227,1.0799,1.36899,0.004258,0.004258,0.004258
176,16221.5,1.04534,1.2493,1.34316,0.76219,0.65186,0.73859,0.51009,1.12152,1.07872,1.36814,0.004225,0.004225,0.004225
177,16297.5,1.04758,1.2592,1.34569,0.76227,0.65429,0.73928,0.51086,1.12058,1.07736,1.36713,0.004192,0.004192,0.004192
