epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,215697,1.23928,1.61691,1.35801,0.61171,0.44434,0.48544,0.3426,1.13981,1.27698,1.26585,0.007063,0.007063,0.007063
91,217460,1.23905,1.61189,1.3563,0.60877,0.44713,0.4852,0.34329,1.13896,1.27504,1.26498,0.00703,0.00703,0.00703
92,219222,1.23841,1.61322,1.35775,0.59678,0.45311,0.48632,0.3436,1.1383,1.27386,1.26438,0.006997,0.006997,0.006997
93,220982,1.23571,1.60991,1.35641,0.5978,0.45263,0.48716,0.34419,1.13757,1.27216,1.26372,0.006964,0.006964,0.006964
94,222742,1.2365,1.60723,1.35571,0.6066,0.4506,0.48839,0.34457,1.137,1.2707,1.26279,0.006931,0.006931,0.006931
95,224503,1.2357,1.60414,1.35389,0.61414,0.4476,0.48902,0.34459,1.13651,1.26881,1.26221,0.006898,0.006898,0.006898
96,226262,1.23519,1.60483,1.35353,0.61118,0.45158,0.4895,0.34511,1.13579,1.26797,1.26121,0.006865,0.006865,0.006865
97,228026,1.23401,1.60043,1.35328,0.59742,0.45825,0.48895,0.34542,1.13569,1.26595,1.26066,0.006832,0.006832,0.006832
98,229783,1.23403,1.60305,1.35223,0.61654,0.45188,0.49028,0.34589,1.13511,1.26541,1.25999,0.006799,0.006799,0.006799
99,231544,1.23243,1.6,1.35074,0.61678,0.45132,0.4903,0.34601,1.13552,1.2645,1.25944,0.006766,0.006766,0.006766
100,233303,1.23375,1.59965,1.35196,0.61881,0.44919,0.49066,0.34646,1.13525,1.26339,1.25932,0.006733,0.006733,0.006733
101,235063,1.2336,1.59941,1.35009,0.61677,0.45159,0.49143,0.34687,1.13432,1.26182,1.25851,0.0067,0.0067,0.0067
102,236827,1.23192,1.59486,1.34945,0.62021,0.4519,0.49182,0.3472,1.13378,1.26137,1.25796,0.006667,0.006667,0.006667
103,238589,1.23149,1.59502,1.34924,0.61645,0.45364,0.49235,0.34775,1.13348,1.26036,1.25757,0.006634,0.006634,0.006634
104,240355,1.23109,1.58742,1.34701,0.61164,0.45547,0.49287,0.3478,1.133,1.2591,1.25678,0.006601,0.006601,0.006601
105,242119,1.23043,1.59132,1.34822,0.61215,0.4538,0.4932,0.34826,1.13287,1.25795,1.25632,0.006568,0.006568,0.006568
106,243917,1.23223,1.5882,1.34755,0.61859,0.4512,0.49365,0.34862,1.13241,1.25658,1.25582,0.006535,0.006535,0.006535
107,248218,1.22969,1.58525,1.34655,0.61739,0.4523,0.49444,0.34896,1.13247,1.25582,1.25537,0.006502,0.006502,0.006502
108,252919,1.22904,1.58579,1.34704,0.61301,0.45537,0.4939,0.34919,1.13204,1.25474,1.2548,0.006469,0.006469,0.006469
109,257957,1.22885,1.58509,1.3474,0.62259,0.45036,0.49456,0.34976,1.1317,1.25363,1.25463,0.006436,0.006436,0.006436
110,263741,1.22675,1.58532,1.34601,0.61576,0.45342,0.49514,0.34982,1.13127,1.25243,1.25431,0.006403,0.006403,0.006403
111,269321,1.22523,1.58045,1.34441,0.61682,0.45375,0.49537,0.3505,1.13066,1.25116,1.25331,0.00637,0.00637,0.00637
112,274808,1.22695,1.58009,1.34564,0.61939,0.45188,0.49632,0.35112,1.13021,1.24972,1.25271,0.006337,0.006337,0.006337
