epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,37251.1,1.0401,1.3216,1.38437,0.74377,0.68086,0.75541,0.54805,0.99498,0.98162,1.32422,0.007756,0.007756,0.007756
70,37768.1,1.04055,1.32512,1.38862,0.74221,0.68343,0.75609,0.54848,0.99413,0.97958,1.32326,0.007723,0.007723,0.007723
71,38273.6,1.04099,1.32298,1.38832,0.74315,0.68489,0.75649,0.54919,0.99306,0.97782,1.32232,0.00769,0.00769,0.00769
72,38880.6,1.04203,1.31766,1.38676,0.7454,0.68356,0.75732,0.5501,0.99223,0.97605,1.32129,0.007657,0.007657,0.007657
73,39396.5,1.03247,1.30928,1.37891,0.74704,0.6823,0.75747,0.55103,0.992,0.97393,1.32087,0.007624,0.007624,0.007624
74,39897.7,1.03948,1.30498,1.38187,0.74445,0.68425,0.75807,0.55218,0.99132,0.97235,1.31996,0.007591,0.007591,0.007591
75,40500.6,1.03336,1.30967,1.38131,0.74763,0.68227,0.75866,0.55275,0.99066,0.97144,1.31891,0.007558,0.007558,0.007558
76,41005.5,1.0278,1.30053,1.37512,0.74677,0.6846,0.75932,0.55325,0.98987,0.9693,1.31792,0.007525,0.007525,0.007525
77,41505.6,1.03203,1.30062,1.37862,0.74959,0.68382,0.75994,0.55393,0.98925,0.96753,1.31705,0.007492,0.007492,0.007492
78,42106.8,1.03157,1.28809,1.3739,0.75167,0.68417,0.76093,0.55453,0.98853,0.96586,1.31588,0.007459,0.007459,0.007459
79,42610.6,1.02128,1.28452,1.36758,0.74912,0.68662,0.76183,0.55543,0.98762,0.96387,1.31496,0.007426,0.007426,0.007426
80,43105.9,1.02331,1.28351,1.36987,0.75022,0.68596,0.762,0.55583,0.98714,0.96215,1.31409,0.007393,0.007393,0.007393
81,43706.2,1.01847,1.2662,1.36668,0.75415,0.68227,0.7625,0.55706,0.98657,0.96059,1.31315,0.00736,0.00736,0.00736
82,44208.9,1.01918,1.26792,1.36593,0.75076,0.68499,0.76306,0.55741,0.98622,0.95898,1.31237,0.007327,0.007327,0.007327
83,44701.5,1.01504,1.26896,1.36184,0.75119,0.6843,0.76353,0.55827,0.98555,0.95768,1.31142,0.007294,0.007294,0.007294
84,45299.3,1.01751,1.257,1.36315,0.75461,0.68386,0.76412,0.55897,0.98492,0.95606,1.31052,0.007261,0.007261,0.007261
85,45800.9,1.01365,1.26448,1.36029,0.75825,0.68093,0.76455,0.55939,0.98453,0.95461,1.30965,0.007228,0.007228,0.007228
86,46291.4,1.01853,1.24921,1.36163,0.75772,0.68054,0.76486,0.55982,0.98422,0.95305,1.30886,0.007195,0.007195,0.007195
87,46896.4,1.01398,1.25916,1.36134,0.76385,0.67905,0.76533,0.56038,0.98367,0.95133,1.30819,0.007162,0.007162,0.007162
88,47399.2,1.00894,1.24725,1.35718,0.75701,0.68296,0.76574,0.56072,0.98336,0.95001,1.30779,0.007129,0.007129,0.007129
89,47897.9,1.01388,1.24968,1.35824,0.756,0.68423,0.76665,0.56134,0.98269,0.94826,1.30684,0.007096,0.007096,0.007096
90,48505.8,1.01032,1.2416,1.35511,0.75358,0.68713,0.76735,0.56247,0.98179,0.94679,1.30604,0.007063,0.007063,0.007063
91,49014.6,1.00425,1.22927,1.35092,0.75393,0.68676,0.76789,0.56296,0.98124,0.94534,1.30534,0.00703,0.00703,0.00703
92,49514.6,1.00726,1.2313,1.35227,0.75466,0.6883,0.76847,0.56373,0.98045,0.94381,1.3043,0.006997,0.006997,0.006997
93,50123.6,1.00189,1.23198,1.3486,0.75556,0.68826,0.76886,0.56419,0.97974,0.94229,1.30344,0.006964,0.006964,0.006964
94,50632.5,1.00027,1.23151,1.34867,0.75578,0.6891,0.7692,0.56463,0.97917,0.94043,1.30277,0.006931,0.006931,0.006931
95,51142.4,1.00085,1.22619,1.34741,0.75662,0.68978,0.76985,0.56474,0.9784,0.93931,1.30179,0.006898,0.006898,0.006898
